Stockfish_Evaluation,Time_Left,Pieces_Left,Elo_Difference,Predicted_Outcome
0.16,19.7,14.0,20.0,0
1.13,19.3,18.0,-7.0,0
0.68,15.1,14.0,32.0,0
-2.56,21.1,15.0,74.0,0
-0.37,8.2,17.0,-12.0,0
1.31,13.4,15.0,-12.0,0
0.84,15.2,10.0,-37.0,0
-1.56,27.2,18.0,38.0,1
0.83,11.7,19.0,-23.0,0
1.83,13.6,10.0,-24.0,0
-1.78,22.5,12.0,-23.0,0
-3.92,14.5,21.0,-25.0,0
-1.81,13.8,16.0,12.0,0
-1.21,11.0,15.0,-96.0,0
-0.91,20.8,14.0,-19.0,0
1.61,17.1,12.0,-28.0,0
0.29,9.1,14.0,-15.0,0
2.08,8.0,18.0,4.0,1
-3.02,11.5,15.0,52.0,0
-0.8,28.9,17.0,-29.0,1
3.31,30.0,20.0,36.0,1
1.65,18.8,13.0,-11.0,0
-0.39,18.4,16.0,3.0,0
0.82,15.8,18.0,-21.0,0
2.64,11.7,12.0,-27.0,1
-0.94,26.1,16.0,-1.0,1
-1.12,19.3,21.0,-58.0,0
1.61,12.8,14.0,19.0,1
-1.08,17.0,18.0,-30.0,1
0.57,6.1,15.0,-15.0,0
0.3,14.9,20.0,19.0,0
4.38,24.9,10.0,93.0,1
-0.32,9.3,15.0,-1.0,0
2.34,25.8,11.0,-53.0,1
1.41,20.0,13.0,20.0,1
-0.19,16.6,13.0,-61.0,0
-2.49,23.1,14.0,13.0,0
0.05,18.4,11.0,-98.0,0
1.8,21.0,15.0,-66.0,1
-2.45,8.0,16.0,10.0,0
1.67,16.0,10.0,37.0,0
2.69,20.8,13.0,9.0,1
0.19,5.0,23.0,-69.0,0
1.83,10.7,16.0,-70.0,0
0.28,12.4,10.0,30.0,0
1.14,15.9,11.0,-36.0,0
2.99,19.4,16.0,27.0,1
-3.11,12.4,15.0,18.0,0
-1.53,22.6,13.0,17.0,0
2.5,18.7,22.0,-88.0,1
2.87,12.0,23.0,16.0,1
-2.82,17.8,14.0,-19.0,0
-0.15,8.5,18.0,-34.0,0
-5.14,19.3,18.0,3.0,0
0.59,21.1,18.0,52.0,0
0.44,23.0,13.0,47.0,1
-0.88,22.4,21.0,-42.0,0
-1.34,17.2,15.0,-15.0,0
-1.27,16.6,16.0,17.0,0
-0.41,5.0,15.0,65.0,0
3.97,20.3,15.0,-24.0,1
2.13,14.2,16.0,-9.0,0
2.87,12.8,11.0,-55.0,1
-0.64,23.0,9.0,-60.0,0
0.46,15.3,14.0,-24.0,0
-2.98,6.6,12.0,68.0,0
-0.56,18.1,17.0,-4.0,0
-1.1,9.5,16.0,50.0,0
0.98,18.4,15.0,2.0,0
-1.41,12.0,19.0,-32.0,0
-1.67,22.4,15.0,63.0,0
0.9,21.8,11.0,77.0,1
-0.11,18.0,14.0,-2.0,0
-1.4,16.0,19.0,78.0,0
-1.69,14.8,9.0,52.0,0
-0.24,22.7,15.0,41.0,1
0.38,25.8,17.0,4.0,1
0.84,15.5,23.0,-23.0,0
0.21,15.9,19.0,5.0,0
-1.43,22.0,15.0,-99.0,0
-2.29,17.4,17.0,-11.0,1
-0.79,13.9,9.0,18.0,0
2.25,5.0,12.0,74.0,0
-1.76,25.0,17.0,-24.0,0
4.37,28.7,15.0,-20.0,1
-0.57,13.7,16.0,-25.0,0
-0.06,10.8,15.0,46.0,0
0.17,17.1,15.0,-29.0,0
-2.78,16.3,15.0,-26.0,0
-2.4,18.8,12.0,26.0,0
2.65,17.4,14.0,5.0,1
3.27,12.5,11.0,-56.0,1
-4.43,9.3,13.0,-28.0,0
0.94,22.9,19.0,-16.0,0
2.76,13.3,14.0,-20.0,1
-0.68,24.9,17.0,-73.0,1
-0.81,11.4,15.0,15.0,0
1.53,19.9,14.0,6.0,0
0.9,6.6,12.0,8.0,0
-0.49,13.6,14.0,-12.0,0
0.18,21.7,16.0,54.0,0
-0.89,12.6,17.0,-21.0,1
0.59,27.3,15.0,-17.0,0
0.51,22.7,17.0,-40.0,0
-0.87,14.1,10.0,-8.0,0
-3.89,15.5,18.0,-33.0,0
-0.39,18.1,12.0,94.0,0
-2.04,15.3,18.0,9.0,1
-2.24,11.2,17.0,13.0,0
-1.38,20.4,9.0,-4.0,0
-1.56,7.4,17.0,-96.0,0
-2.22,18.5,18.0,43.0,1
-1.77,15.0,19.0,3.0,1
1.41,18.1,13.0,123.0,0
-1.53,11.0,16.0,-10.0,0
-2.25,20.7,17.0,31.0,1
1.62,17.5,17.0,-2.0,0
-0.26,11.9,16.0,-58.0,0
0.13,20.5,14.0,57.0,0
-1.31,9.3,18.0,38.0,0
-1.96,12.3,18.0,40.0,0
1.37,16.0,15.0,4.0,0
-0.25,21.2,13.0,27.0,0
-3.0,22.4,13.0,-70.0,0
0.59,12.4,19.0,29.0,0
-0.68,26.4,18.0,110.0,1
1.71,30.0,15.0,8.0,1
-1.79,17.8,14.0,52.0,0
-0.63,26.4,10.0,5.0,1
-1.94,23.8,15.0,-25.0,0
1.57,17.1,11.0,-78.0,0
2.45,28.6,15.0,3.0,1
-0.98,15.2,19.0,-8.0,0
-0.39,27.0,12.0,84.0,0
-1.62,10.3,16.0,-46.0,0
-1.43,16.4,18.0,77.0,0
1.39,11.5,16.0,-79.0,0
-1.01,27.3,13.0,-16.0,0
-0.55,14.5,15.0,41.0,0
-0.14,15.6,18.0,-62.0,0
1.5,14.1,16.0,-12.0,0
-0.78,16.3,15.0,65.0,0
2.17,5.5,18.0,-49.0,0
3.75,13.9,17.0,-44.0,1
-3.4,21.8,11.0,13.0,0
-0.18,19.9,17.0,39.0,0
-0.19,10.3,18.0,-62.0,0
-1.43,10.3,11.0,-34.0,0
0.82,15.4,8.0,-27.0,0
-0.93,5.0,12.0,15.0,0
-3.95,18.0,15.0,27.0,0
-4.1,6.6,18.0,17.0,0
1.69,26.1,12.0,-34.0,1
-0.48,18.1,17.0,12.0,0
0.18,27.8,6.0,-44.0,1
-2.14,24.5,16.0,60.0,0
0.09,13.5,14.0,19.0,0
2.74,19.3,21.0,24.0,1
0.99,16.3,9.0,-60.0,0
0.39,12.3,15.0,-45.0,0
-0.87,19.7,9.0,-49.0,1
1.49,23.3,13.0,39.0,1
0.02,10.0,10.0,58.0,0
-1.22,19.2,22.0,-41.0,1
1.29,16.9,14.0,48.0,0
-1.7,16.5,14.0,21.0,0
1.12,22.3,15.0,41.0,0
2.43,12.4,12.0,95.0,1
0.31,16.5,18.0,-24.0,0
-0.85,18.0,17.0,2.0,0
-1.14,19.1,18.0,-15.0,0
0.77,28.5,11.0,-48.0,1
3.46,16.7,18.0,-4.0,1
4.73,23.8,18.0,17.0,1
-1.42,18.9,14.0,14.0,0
-0.26,16.4,18.0,41.0,0
0.55,18.6,16.0,1.0,0
0.31,21.0,10.0,73.0,1
-1.12,27.8,14.0,51.0,1
2.46,11.5,14.0,-45.0,0
1.33,8.3,15.0,31.0,0
1.48,21.6,18.0,-20.0,0
-1.34,21.0,10.0,20.0,0
-0.81,22.2,14.0,24.0,0
0.98,18.5,13.0,-11.0,0
-0.36,22.3,13.0,36.0,0
1.33,17.9,13.0,24.0,0
-0.2,22.4,15.0,-4.0,0
2.13,23.4,17.0,-42.0,0
0.12,10.6,16.0,-76.0,0
3.63,21.8,16.0,-22.0,0
0.82,17.4,17.0,-18.0,0
1.57,16.0,22.0,11.0,0
-1.9,5.8,15.0,-62.0,0
0.51,28.3,18.0,37.0,1
-1.1,15.0,18.0,-8.0,0
-3.08,20.8,20.0,-44.0,0
-0.39,17.1,17.0,-8.0,1
2.33,10.3,12.0,-58.0,0
-0.13,14.3,16.0,7.0,0
3.33,15.1,16.0,18.0,1
-0.24,15.4,17.0,28.0,0
4.48,16.4,12.0,54.0,1
-2.23,26.5,19.0,53.0,0
-3.18,7.6,15.0,-43.0,0
-1.09,11.3,18.0,-38.0,0
-0.8,17.0,16.0,-19.0,0
-1.44,15.9,15.0,-4.0,0
0.13,5.0,16.0,34.0,0
-1.15,7.9,17.0,193.0,0
-1.03,17.4,21.0,-4.0,0
0.31,21.2,9.0,57.0,0
-3.08,21.3,17.0,66.0,0
-2.14,15.2,15.0,33.0,0
2.49,15.6,14.0,-16.0,1
-0.88,12.4,8.0,38.0,0
0.74,23.3,17.0,-39.0,0
0.61,17.5,15.0,-12.0,0
-0.38,23.1,12.0,-24.0,1
0.8,24.9,15.0,4.0,1
0.59,26.6,14.0,116.0,1
5.22,9.9,10.0,-26.0,1
4.13,16.4,15.0,-29.0,1
0.92,19.8,17.0,-81.0,0
-2.07,17.5,13.0,-24.0,0
0.03,18.8,16.0,54.0,0
-1.33,13.2,15.0,3.0,0
0.92,17.3,18.0,-54.0,0
0.84,13.9,15.0,-36.0,0
-2.45,19.0,17.0,34.0,0
-2.16,16.9,14.0,-37.0,0
-1.56,15.3,21.0,5.0,0
-5.37,19.3,14.0,-0.0,0
0.31,5.0,13.0,-33.0,0
-2.3,8.3,15.0,-60.0,0
-0.11,16.4,13.0,32.0,0
0.14,16.6,11.0,-101.0,0
0.89,29.9,17.0,9.0,1
2.01,21.1,6.0,-33.0,1
-2.01,16.8,13.0,43.0,0
-0.73,7.2,11.0,-28.0,0
1.36,18.4,15.0,-6.0,0
-1.31,14.5,8.0,25.0,0
-3.75,12.5,17.0,-50.0,0
1.24,10.2,17.0,-60.0,0
-0.2,6.2,10.0,-17.0,0
-0.42,9.5,16.0,-24.0,0
0.24,21.7,17.0,43.0,0
0.01,16.6,18.0,26.0,0
1.99,14.3,11.0,-23.0,0
1.91,17.5,10.0,-63.0,0
0.88,24.8,20.0,46.0,1
-2.83,17.6,13.0,106.0,0
-0.78,24.6,13.0,45.0,1
-1.74,12.4,17.0,-76.0,0
0.11,13.6,11.0,-24.0,0
0.04,9.7,14.0,-40.0,0
0.33,29.3,18.0,-35.0,1
0.52,17.8,11.0,22.0,0
2.61,21.1,13.0,39.0,0
0.31,12.0,12.0,-51.0,0
2.78,26.3,13.0,-3.0,1
-3.5,17.6,19.0,-162.0,0
